,Thrombin,Diameter,Length,Branch,Arch,Rigid,Entry,Flowrate
0,0nihu,3.74,8.47,lcca,model1,1,right,steady
1,0nihu,4.71,6.22,lsub,model1,1,right,steady
2,0nihu,3.42,5.57,rcca,model1,1,right,steady
3,0nihu,3.36,5.12,descending,model1,1,right,steady
4,0nihu,4.29,3.61,descending,model1,1,right,steady
5,0nihu,3.54,7.28,descending,model1,1,right,steady
6,0nihu,3.21,8.02,descending,model1,1,right,steady
7,0nihu,4.31,7.9,descending,model1,1,right,steady
8,0nihu,4.65,7.35,descending,model1,1,right,steady
9,0nihu,3.47,5.23,descending,model1,1,right,steady
10,0nihu,4.89,9.54,descending,model1,1,right,steady
11,0nihu,4.13,4.96,descending,model1,1,right,steady
12,0nihu,3.3,9.88,descending,model1,1,right,steady
13,0nihu,3.62,4.93,descending,model1,1,right,steady
14,0nihu,2.97,7.09,descending,model1,1,right,steady
15,0nihu,3.24,5.6,lcca,model1,1,right,steady
16,0nihu,3.65,4.65,descending,model1,1,right,steady
17,0nihu,3.21,8.8,descending,model1,1,right,steady
18,0nihu,5.05,5.75,descending,model1,1,right,steady
19,0nihu,3.87,3.81,descending,model1,1,right,steady
20,0nihu,5.42,5.43,descending,model1,1,centre,steady
21,0nihu,3.34,5.75,descending,model1,1,centre,steady
22,0nihu,3.06,8.85,descending,model1,1,centre,steady
23,0nihu,4.48,5.45,descending,model1,1,centre,steady
24,0nihu,3.73,6.03,descending,model1,1,centre,steady
25,0nihu,3.8,4.6,descending,model1,1,centre,steady
26,0nihu,3.55,6.85,lcca,model1,1,centre,steady
27,0nihu,6.24,5.3,descending,model1,1,centre,steady
28,0nihu,3.44,4.65,descending,model1,1,centre,steady
29,0nihu,4.26,8.7,descending,model1,1,centre,steady
30,0nihu,3.65,4.27,descending,model1,1,centre,steady
31,0nihu,2.96,5.12,descending,model1,1,centre,steady
32,0nihu,2.95,6.85,descending,model1,1,centre,steady
33,0nihu,2.15,8.57,descending,model1,1,centre,steady
34,0nihu,3.08,6.93,descending,model1,1,centre,steady
35,0nihu,3.01,6.72,descending,model1,1,centre,steady
36,0nihu,2.26,4.43,descending,model1,1,centre,steady
37,0nihu,3.94,3.69,descending,model1,1,centre,steady
38,0nihu,3.21,6.74,descending,model1,1,centre,steady
39,0nihu,2.84,4.07,rcca,model1,1,centre,steady
40,0nihu,3.89,5.05,descending,model1,1,left,steady
41,0nihu,2.5,8.76,descending,model1,1,left,steady
42,0nihu,3.6,7.41,descending,model1,1,left,steady
43,0nihu,3.14,3.51,lcca,model1,1,left,steady
44,0nihu,3.84,7.31,lcca,model1,1,left,steady
45,0nihu,3.61,6.52,rcca,model1,1,left,steady
46,0nihu,2.8,5.4,descending,model1,1,left,steady
47,0nihu,3.4,4.79,descending,model1,1,left,steady
48,0nihu,2.67,3.37,descending,model1,1,left,steady
49,0nihu,3.41,6.53,lcca,model1,1,left,steady
50,0nihu,2.77,9.57,descending,model1,1,left,steady
51,0nihu,2.6,4.83,descending,model1,1,left,steady
52,0nihu,3.57,7.14,rsub,model1,1,left,steady
53,0nihu,4.05,9.7,descending,model1,1,left,steady
54,0nihu,5.97,7.48,descending,model1,1,left,steady
55,0nihu,4.62,4.189,descending,model1,1,left,steady
56,0nihu,6.13,5.84,descending,model1,1,left,steady
57,0nihu,4.22,10.17,descending,model1,1,left,steady
58,0nihu,5.97,6.12,rcca,model1,1,left,steady
59,0nihu,5.97,6.12,descending,model1,1,left,steady
60,0nihu,3.86,4.6,descending,model2,1,right,steady
61,0nihu,3.3,4.3,descending,model2,1,right,steady
62,0nihu,4.19,5.11,rsub,model2,1,right,steady
63,0nihu,3.13,4.59,descending,model2,1,right,steady
64,0nihu,3.29,4.97,descending,model2,1,right,steady
65,0nihu,3.22,11.21,descending,model2,1,right,steady
66,0nihu,3.23,6.85,descending,model2,1,right,steady
67,0nihu,3.06,5.83,descending,model2,1,right,steady
68,0nihu,4.57,5.29,descending,model2,1,right,steady
69,0nihu,4.12,4.66,descending,model2,1,right,steady
70,0nihu,3.57,3.58,descending,model2,1,right,steady
71,0nihu,2.9,3.07,descending,model2,1,right,steady
72,0nihu,3.88,7.54,rsub,model2,1,right,steady
73,0nihu,4.96,6.95,descending,model2,1,right,steady
74,0nihu,4.23,5.09,descending,model2,1,right,steady
75,0nihu,3.21,3.91,descending,model2,1,right,steady
76,0nihu,3.51,6.01,descending,model2,1,right,steady
77,0nihu,4.49,6.38,lsub,model2,1,right,steady
78,0nihu,4.49,6.38,descending,model2,1,right,steady
79,0nihu,3.47,5.76,rsub,model2,1,right,steady
80,0nihu,3.48,6.21,rcca,model2,1,centre,steady
81,0nihu,3.9,6.75,descending,model2,1,centre,steady
82,0nihu,4.4,4.7,descending,model2,1,centre,steady
83,0nihu,3.55,5.03,descending,model2,1,centre,steady
84,0nihu,3.75,4.74,descending,model2,1,centre,steady
85,0nihu,3.57,4.39,lsub,model2,1,centre,steady
86,0nihu,3.48,3.84,descending,model2,1,centre,steady
87,0nihu,3.87,6.25,descending,model2,1,centre,steady
88,0nihu,3.91,6.24,descending,model2,1,centre,steady
89,0nihu,2.72,5.5,lcca,model2,1,centre,steady
90,0nihu,2.07,4.54,descending,model2,1,centre,steady
91,0nihu,3.94,7.69,descending,model2,1,centre,steady
92,0nihu,2.97,4.73,descending,model2,1,centre,steady
93,0nihu,4.1,5.4,descending,model2,1,centre,steady
94,0nihu,3.72,4.02,descending,model2,1,centre,steady
95,0nihu,3.32,8.38,lcca,model2,1,centre,steady
96,0nihu,4.02,6.71,descending,model2,1,centre,steady
97,0nihu,4.02,6.71,descending,model2,1,centre,steady
98,0nihu,3.74,5.81,descending,model2,1,centre,steady
99,0nihu,2.86,5.57,lcca,model2,1,centre,steady
100,0nihu,2.01,4.83,descending,model2,1,left,steady
101,0nihu,2.44,2.52,descending,model2,1,left,steady
102,0nihu,3.72,4.94,descending,model2,1,left,steady
103,0nihu,4.29,7.87,descending,model2,1,left,steady
104,0nihu,4.19,5.54,rcca,model2,1,left,steady
105,0nihu,4.31,6.45,descending,model2,1,left,steady
106,0nihu,3.57,5.1,descending,model2,1,left,steady
107,0nihu,3.77,5.97,descending,model2,1,left,steady
108,0nihu,3.99,4.13,descending,model2,1,left,steady
109,0nihu,2.86,9.75,descending,model2,1,left,steady
110,0nihu,4.17,10.79,descending,model2,1,left,steady
111,0nihu,3.21,6.99,descending,model2,1,left,steady
112,0nihu,4.45,7.53,lsub,model2,1,left,steady
113,0nihu,2.63,7.73,lcca,model2,1,left,steady
114,0nihu,3.91,7.69,descending,model2,1,left,steady
115,0nihu,5.18,5.69,descending,model2,1,left,steady
116,0nihu,5.38,6.69,descending,model2,1,left,steady
117,0nihu,4.13,8.55,descending,model2,1,left,steady
